id,title,averageRating,author,language
3977,"D.Gray-man, Volume 1",4.21,"Katsura Hoshino, Mayumi Kobayashi",eng
3978,The Robots of Dawn,4.13,Isaac Asimov,eng
3979,The Rule of Four,3.22,"Ian Caldwell, Dustin Thomason",eng
3980,The Redemption of Callie & Kayden,4.11,Jessica Sorensen,eng
3981,,4.29,"Gene Luen Yang, Bryan Konietzko, Michael Dante DiMartino, Dave Marshall, Gurihiru",eng
3982,The Closers,4.08,Michael Connelly,eng
3983,Fire and Ice,4.36,Erin Hunter,eng
3984,The Darkest Whisper,4.33,Gena Showalter,eng
3985,"Love Is a Mix Tape: Life and Loss, One Song at a Time",3.83,Rob Sheffield,en-US
3986,Please Kill Me: The Uncensored Oral History of Punk,4.16,"Legs McNeil, Gillian McCain",en-US
3987,,3.83,Marybeth Mayhew Whalen,eng
3988,Frog and Toad All Year,4.34,Arnold Lobel,en-US
3989,"The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3)",4.33,R.A. Salvatore,eng
3990,"The Harlequin (Anita Blake, Vampire Hunter, #15)",3.9,Laurell K. Hamilton,en-US
3991,So B. It,4.1,Sarah Weeks,eng
3992,Found,3.97,Margaret Peterson Haddix,eng
3993,,3.6,Emily Giffin,eng
3994,The Basketball Diaries 1963-1966,3.98,Jim Carroll,eng
3995,Sin City: That Yellow Bastard,4.22,Frank Miller,eng
3996,Krew elfów,4.23,Andrzej Sapkowski,pol
3997,Little Altars Everywhere,3.55,Rebecca Wells,
3998,Angels,3.73,Marian Keyes,en-US
3999,A World Without Heroes,4.07,Brandon Mull,en-US
4000,The Kings of Clonmel,4.29,John Flanagan,eng
4001,The Fireman,3.92,Joe Hill,eng
4002,The Revenge of Seven,4.28,Pittacus Lore,eng
4003,Ben-Hur: A Tale of the Christ,4.02,Lew Wallace,eng
4004,Homage to Catalonia,4.14,"George Orwell, Lionel Trilling",eng
4005,Good Grief,3.72,Lolly Winston,en-US
4006,A Knight of the Seven Kingdoms,4.19,"George R.R. Martin, Gary Gianni",eng
4007,Misguided Angel,3.93,Melissa de la Cruz,en-US
4008,Undeniable,4.08,Madeline Sheehan,eng
4009,Four Blondes,2.8,Candace Bushnell,
4010,There Was an Old Lady Who Swallowed a Fly (Classic Board Books with Holes),4.2,Pam Adams,
4011,The Girl In The Ice,3.95,Robert Bryndza,eng
4012,The Long Way Home,3.96,"Joss Whedon, Georges Jeanty",en-CA
4013,Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,3.73,Anthony Bourdain,en-US
4014,Emily of New Moon,4.09,L.M. Montgomery,eng
4015,Собачье сердце,4.14,"Mikhail Bulgakov, Mirra Ginsburg, Mikhail Bulgakov",eng
4016,Grendel,3.69,John Gardner,en-US
4017,The Pale Rider,4.27,Bernard Cornwell,en-US
4018,Chaos: Making a New Science,3.98,James Gleick,eng
4019,Marvels,4.21,"Kurt Busiek, Alex Ross",eng
4020,A Hologram for the King,3.29,Dave Eggers,eng
4021,The Future of Us,3.58,"Jay Asher, Carolyn Mackler",en-US
4022,Cross Country,3.83,James Patterson,eng
4023,Rock Chick,4.2,Kristen Ashley,en-GB
4024,The Program,4.07,Suzanne Young,eng
4025,City of Bones,4.04,Michael Connelly,eng
4026,Judas Unchained,4.3,Peter F. Hamilton,eng
4027,Morality for Beautiful Girls,3.97,Alexander McCall Smith,eng
4028,Going Too Far,3.93,Jennifer Echols,en-US
4029,The Son,3.98,Philipp Meyer,eng
4030,The Dream Hunter,4.06,Sherrilyn Kenyon,en-US
4031,Island of the Sequined Love Nun,3.78,"Christopher Moore, Oliver Wyman",en-GB
4032,All the Ugly and Wonderful Things,4.12,Bryn Greenwood,eng
4033,The Moon and More,3.63,Sarah Dessen,eng
4034,Time Enough for Love,3.96,Robert A. Heinlein,eng
4035,The Barefoot Contessa Cookbook,4.21,"Ina Garten, Melanie Acevedo",en-GB
4036,Virals,3.94,"Kathy Reichs, Brendan Reichs",en-US
4037,"An Invisible Thread: The True Story of an 11-Year-Old Panhandler, a Busy Sales Executive, and an Unlikely Meeting with Destiny",4,"Laura Schroff, Alex Tresniowski, Valerie Salembier",eng
4038,,4.37,"P.C. Cast, Kristin Cast",eng
4039,Mennonite in a Little Black Dress: A Memoir of Going Home,3.17,Rhoda Janzen,en-US
4040,The Simple Truth,4.03,David Baldacci,en-US
4041,The City of Mirrors,4.2,Justin Cronin,eng
4042,Ramona Forever,4.05,Beverly Cleary,
4043,Anne Frank: Beyond the Diary - A Photographic Remembrance,4.25,"Ruud van der Rol, Rian Verhoeven, Anna Quindlen, Anne Frank, Tony Langham, Plym Peters",
4044,Kushiel's Chosen,4.31,Jacqueline Carey,en-US
4045,Half Girlfriend,3.16,Chetan Bhagat,en-CA
4046,The Far Side Gallery 3,4.45,Gary Larson,
4047,"Parable of the Sower (Earthseed, #1)",4.14,Octavia E. Butler,eng
4048,11th hour,4.02,"James Patterson, Maxine Paetro",eng
4049,"Earth Unaware (The First Formic War, #1) ",3.91,"Orson Scott Card, Aaron Johnston",en-US
4050,When Things Fall Apart: Heart Advice for Difficult Times,4.29,Pema Chödrön,
4051,My Last Duchess,3.41,Daisy Goodwin,eng
4052,Seeds of Yesterday,3.81,V.C. Andrews,en-US
4053,Three Little Pigs (Little Golden Book),4.19,"Al Dempster, Milt Banta, Golden Books, Walt Disney Company",
4054,Andy Goldsworthy: A Collaboration with Nature,3.95,Andy Goldsworthy,
4055,Jesus' Son: Stories,4.15,Denis Johnson,eng
4056,The Last Man,4.34,Vince Flynn,en-US
4057,Saving Fish from Drowning: A Novel,3.41,Amy Tan,eng
4058,Love Anthony,3.94,Lisa Genova,eng
4059,Purple Cow: Transform Your Business by Being Remarkable,3.78,Seth Godin,eng
4060,The Last Star,3.64,Rick Yancey,eng
4061,"Scott Pilgrim, Volume 4: Scott Pilgrim Gets It Together",4.32,"Bryan Lee O'Malley, Steve Buccellato",
4062,QB VII,4.17,Leon Uris,eng
4063,The Aeronaut's Windlass ,4.18,Jim Butcher,eng
4064,From Hell,4.16,"Alan Moore, Eddie Campbell, Pete Mullins",eng
4065,Black Rose,4.03,Nora Roberts,eng
4066,The Perfect Husband,4.01,Lisa Gardner,eng
4067,The Eight,3.92,Katherine Neville,eng
4068,Daddy-Long-Legs       ,4.09,Jean Webster,eng
4069,East,4.14,Edith Pattou,en-US
4070,Dragonquest,4.09,Anne McCaffrey,en-US
4071,Das Unbehagen in der Kultur,3.76,"Sigmund Freud, James Strachey, Peter Gay",en-US
4072,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,3.96,James Bowen,eng
4073,Complete Me,4.23,J. Kenner,eng
4074,Fool's Assassin,4.35,Robin Hobb,eng
4075,"Astonishing X-Men, Volume 1: Gifted",4.17,"Joss Whedon, John Cassaday",eng
4076,Fragile Eternity,3.83,Melissa Marr,en-US
4077,The Gamble,4.29,Kristen Ashley,en-GB
4078,The Great and Secret Show,4.05,Clive Barker,eng
4079,The Mother Tongue: English and How It Got That Way,3.95,Bill Bryson,en-US
4080,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,3.83,Eric    Weiner,en-US
4081,,3.4,Tom Wolfe,en-US
4082,The Mistake,4.15,Elle Kennedy,eng
4083,Match Me If You Can,4.13,Susan Elizabeth Phillips,eng
4084,"Heaven and Earth (Three Sisters Island, #2)",4.13,Nora Roberts,eng
4085,The Bad Place,3.86,Dean Koontz,en-US
4086,Crazy Little Thing,3.8,Tracy Brogan,en-US
4087,Avalon High,3.8,Meg Cabot,
4088,The Twilight Saga: The Official Guide,4.23,Stephenie Meyer,en-US
4089,Summer Island,3.97,Kristin Hannah,
4090,Celebration of Discipline: The Path to Spiritual Growth,4.18,Richard J. Foster,en-US
4091,The Prime of Miss Jean Brodie ,3.76,Muriel Spark,eng
4092,"Sloppy Firsts (Jessica Darling, #1)",3.94,Megan McCafferty,eng
4093,"Forgive Me, Leonard Peacock",3.93,Matthew Quick,eng
4094,A Long Way From Chicago,3.92,Richard Peck,eng
4095,Virgin,3.87,James Patterson,eng
4096,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,3.87,Ben Mezrich,
4097,This One Summer,3.67,"Mariko Tamaki, Jillian Tamaki",eng
4098,The Next Best Thing,3.46,Jennifer Weiner,
4099,The Heroin Diaries: A Year in the Life of a Shattered Rock Star,4.12,Nikki Sixx,en-GB
4100,Tinkers,3.37,Paul Harding,eng
4101,The Druid of Shannara,4,Terry Brooks,eng
4102,Stepbrother Dearest,4.14,Penelope Ward,eng
4103,Einstein's Dreams,4.08,Alan Lightman,eng
4104,Бесы,4.26,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",eng
4105,Seize the Night,4.36,Sherrilyn Kenyon,eng
4106,,4.15,"Fyodor Dostoyevsky, Christian Redl, Philip Dossick, Emanuela Guercetti, Michelle-Irène Brudny, Richard Pevear, Norman Dietz, Donald Fanger, coderati, Boris de Schlœzer, Larissa Volokhonsky",eng
4107,,4.55,"Andrew Williamson, Andrew Williamson",
4108,Retrato en sepia,3.93,"Isabel Allende, Margaret Sayers Peden",
4109,Making Faces,4.36,Amy Harmon,eng
4110,Q & A: Slumdog Millionaire,3.98,Vikas Swarup,eng
4111,,3.98,Tana French,eng
4112,"Encyclopedia Brown, Boy Detective (Encyclopedia Brown, #1)",4.03,Donald J. Sobol,eng
4113,Dissolution,4.08,C.J. Sansom,eng
4114,"The Clique (The Clique, #1)",3.6,Lisi Harrison,en-GB
4115,The Sixth Extinction: An Unnatural History,4.09,Elizabeth Kolbert,eng
4116,Billy Lynn's Long Halftime Walk,3.81,Ben Fountain,eng
4117,A Whole New Mind: Why Right-Brainers Will Rule the Future,3.95,Daniel H. Pink,eng
4118,Across the Nightingale Floor ,4.06,Lian Hearn,eng
4119,A Briefer History of Time,4.19,"Stephen Hawking, Leonard Mlodinow",eng
4120,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,4.08,Richard Dawkins,eng
4121,"Face the Fire (Three Sisters Island, #3)",4.15,Nora Roberts,eng
4122,Once We Were Brothers,4.28,Ronald H. Balson,en-GB
4123,When I'm Gone,3.94,"Emily Bleeker, Dan John Miller",eng
4124,Life Expectancy,3.98,Dean Koontz,eng
4125,The Dragon Heir,4.14,Cinda Williams Chima,eng
4126,"Fallout (Crank, #3)",4.29,Ellen Hopkins,eng
4127,Black Notice,3.85,Patricia Cornwell,en-US
4128,The Wonder,3.65,Emma Donoghue,eng
4129, Innocent Traitor,3.94,Alison Weir,eng
4130,The Fourth Hand,3.3,John Irving,eng
4131,"Gone, Baby, Gone",4.14,Dennis Lehane,eng
4132,"Tunnels of Blood (Cirque du Freak, #3) ",4.14,Darren Shan,
4133,On Mystic Lake,3.95,Kristin Hannah,eng
4134,The Killing Game,4.18,Iris Johansen,eng
4135,The Retribution of Mara Dyer,4.14,Michelle Hodkin,eng
4136,Rachael Ray 365: No Repeats--A Year of Deliciously Different Dinners (A 30-Minute Meal Cookbook),3.68,Rachael Ray,
4137,A Wolf at the Table,3.7,Augusten Burroughs,eng
4138,Alvin Maker: Seventh Son,3.86,Orson Scott Card,eng
4139,The Mysteries of Pittsburgh,3.63,Michael Chabon,eng
4140,Manhunt: The 12-Day Chase for Lincoln's Killer,4.12,James L. Swanson,en-US
4141,The Book of Tomorrow,3.66,Cecelia Ahern,eng
4142,Uncommon Criminals,4.15,Ally Carter,
4143,On the Fence,4.04,Kasie West,eng
4144,Follow You Home,3.86,Mark  Edwards,en-CA
4145,"Love, Stargirl",3.8,Jerry Spinelli,
4146,Nefertiti,4.07,Michelle Moran,en-US
4147,‎You Are Not So Smart‎,3.85,David McRaney,en-US
4148,Into the Wilderness,4.1,Sara Donati,eng
4149,Ὀρέστεια,3.99,"Aeschylus, Robert Fagles, William Bedell Stanford",eng
4150,How the Light Gets In,4.41,Louise Penny,eng
4151,Don't Waste Your Life,4.11,John Piper,
4152,La catedral del mar,4.05,Ildefonso Falcones,spa
4153,The Life of Elizabeth I,4.05,Alison Weir,en-US
4154,"The Book of Mormon, Doctrine and Covenants, the Pearl of Great Price",4.36,The Church of Jesus Christ of Latter-day Saints,
4155,Earth: A Visitor's Guide to the Human Race ,3.91,"Jon Stewart, Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross",eng
4156,My Soul to Take,3.88,Rachel Vincent,eng
4157,Conversations With God. An Uncommon Dialogue. Book 2,4.1,Neale Donald Walsch,eng
4158,Everneath,3.76,Brodi Ashton,en-US
4159,Plum Spooky,3.77,Janet Evanovich,eng
4160,Manual do guerreiro da luz,3.69,Paulo Coelho,en-US
4161,James Potter and the Hall of Elders' Crossing ,3.78,G. Norman Lippert,eng
4162,Where Men Win Glory: The Odyssey of Pat Tillman,4.03,Jon Krakauer,en-US
4163,God's Smuggler,4.32,"Brother Andrew, Elizabeth Sherrill, John Sherrill",eng
4164,Maine,3.34,J. Courtney Sullivan,
4165,Fill-in boyfrined,3.92,Kasie West,eng
4166,How I Live Now,3.58,Meg Rosoff,eng
4167,Mister Monday,3.77,Garth Nix,eng
4168,These things hidden,3.85,Heather Gudenkauf,
4169,Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,3.85,"Dawn J. Ranck, Phyllis Pellman Good",
4170,Strange Angels,3.78,"Lili St. Crow, Lilith Saintcrow",eng
4171,La Prisonnière,4.08,"Malika Oufkir, Michèle Fitoussi",eng
4172,Black Hills,4.08,Nora Roberts,en-US
4173,Civil War: A Marvel Comics Event,4.05,"Mark Millar, Steve McNiven, Dexter Vines, Morry Hollowell",eng
4174,The Vow: The Kim and Krickitt Carpenter Story,3.77,"Kim Carpenter, John R. Perry, Krickitt Carpenter",eng
4175,The Puppet Masters,3.86,Robert A. Heinlein,eng
4176,All the Missing Girls,3.79,Megan Miranda,eng
4177,Just Go to Bed,4.22,Mercer Mayer,en-US
4178,,3.19,Maria Semple,
4179,xxxHOLiC #1,4.17,"CLAMP, William Flanagan",en-US
4180,Miss Nelson Is Back,4.33,"Harry Allard, James  Marshall",en-US
4181,Green Mars,3.91,Kim Stanley Robinson,en-GB
4182,"To Green Angel Tower (Memory, Sorrow, and Thorn, #3)",4.16,Tad Williams,eng
4183,The Canterville Ghost,3.89,"Oscar Wilde, Inga Moore",eng
4184,Seconds: A Graphic Novel,4.07,"Bryan Lee O'Malley, Nathan Fairbairn",eng
4185,Fallen Crest High,4.13,Tijan,en-GB
4186,Művészeti Anatómia,3.97,Jenő Barcsay,
4187,Suffer the Children,3.9,John Saul,en-US
4188,"Catherine, Called Birdy",3.7,Karen Cushman,eng
4189,Princess: A True Story of Life Behind the Veil in Saudi Arabia ,4,Jean Sasson,en-US
4190,Magic Kingdom for Sale—Sold!,3.86,Terry Brooks,eng
4191,The Power of Your Subconscious Mind,4.12,"Joseph Murphy, Ian McMahan",en-US
4192,Blood and Gold: The Vampire Marius,3.88,Anne Rice,en-US
4193,The Crown of Embers,4.2,Rae Carson,eng
4194,Page ,4.22,Tamora Pierce,eng
4195,The Guard,3.75,Kiera Cass,eng
4196,Johnny Tremain,3.62,"Esther Forbes, Lynd Ward",en-US
4197,Diarios de motocicleta: notas de viaje por América Latina,3.79,"Ernesto Che Guevara, Aleida Guevara March",eng
4198,,4.25,Kristen Proby,eng
4199,Black 1. The Birth of Evil,4.21,Ted Dekker,eng
4200,The Hundred Thousand Kingdoms,3.8,N.K. Jemisin,eng
4201,Officer Buckle & Gloria (Hardcover),4.16,Peggy Rathmann,eng
4202,Los detectives salvajes,4.09,"Roberto Bolaño, Natasha Wimmer",en-US
4203,Alice in Zombieland,4.05,Gena Showalter,eng
4204,Spells,3.99,Aprilynne Pike,en-US
4205,Schachnovelle,4.28,"Stefan Zweig, Joel Rotenberg, Hans Hausmann, Dirk Muller, Peter Gay, Willy Trenk-Trebitsch, Mario Adorf, Gert Westphal",eng
4206,The Lion King (Little Golden Book),4.46,"Justine Korman Fontes, Don Williams, Walt Disney Company",
4207,The Medusa Plot,4.07,Gordon Korman,eng
4208,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy",4.12,Jeanne Birdsall,eng
4209,The Lion,4.22,Nelson DeMille,en-US
4210,Kiss of the Highlander,4.31,Karen Marie Moning,eng
4211,Elizabeth The Queen: The Life Of A Modern Monarch,3.85,Sally Bedell Smith,eng
4212,Sønnen,4.07,"Jo Nesbø, Charlotte Barslund",eng
4213,Taster's Choice,4,"John Layman, Rob Guillory",eng
4214,A Single Shard,3.87,Linda Sue Park,eng
4215,Time of the Twins,4.13,"Margaret Weis, Tracy Hickman",eng
4216,Sacré Bleu: A Comedy d'Art,3.77,Christopher Moore,en-CA
4217,Пикник на обочине,4.21,"Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon",eng
4218,Queen of Babble Gets Hitched,3.82,Meg Cabot,en-US
4219,Cranford,3.85,Elizabeth Gaskell,eng
4220,Underworld,3.92,Don DeLillo,eng
4221,Big Sur,3.86,"Jack Kerouac, Aram Saroyan",eng
4222,My Man Jeeves,4.13,P.G. Wodehouse,eng
4223,Radiant Shadows,3.97,Melissa Marr,en-US
4224,Motorcycle Man,4.43,Kristen Ashley,eng
4225,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",3.97,Amanda Palmer,eng
4226,Into the Still Blue,4.17,Veronica Rossi,eng
4227,The Last Summer (of You and Me),3.58,Ann Brashares,en-US
4228,Preacher Vol. 2: Until the End of the World,4.28,"Garth Ennis, Steve Dillon",eng
4229,The Lord of the Rings: Weapons and Warfare,4.53,"Chris   Smith, Christopher Lee, Richard Taylor",eng
4230,The Lost City of Faar,4.16,D.J. MacHale,eng
4231,A Great Deliverance,4.06,Elizabeth  George,en-US
4232,El club Dumas,3.82,"Arturo Pérez-Reverte, Sonia Soto",eng
4233,Enna Burning,3.97,Shannon Hale,eng
4234,Twilight,4.26,Meg Cabot,eng
4235,1919,3.65,أحمد مراد,ara
4236,Dear Mr. Henshaw,3.7,"Beverly Cleary, Paul O. Zelinsky",eng
4237,,3.64,Ann Patchett,eng
4238,Generation X: Tales for an Accelerated Culture,3.73,Douglas Coupland,eng
4239,The Sympathizer,4,Viet Thanh Nguyen,eng
4240,Evil Under the Sun,3.94,Agatha Christie,eng
4241,Reaper's Property,4.13,Joanna Wylde,eng
4242,"My Friend Flicka (Flicka, #1)",4.15,"Mary O'Hara, Dave Blossom",en-US
4243,The Kingmaker's Daughter,3.95,"Philippa Gregory, Mirjana Valent",eng
4244,Hedda Gabler,3.79,"Henrik Ibsen, William Archer",eng
4245,Dumbo (Little Golden Book),4.29,Walt Disney Company,
4246,The Invasion of the Tearling,4.15,Erika Johansen,eng
4247,Gjenferd,4.11,"Jo Nesbø, Don Bartlett",
4248,,4.43,"P.C. Cast, Kristin Cast",eng
4249,A Place Called Here,3.66,Cecelia Ahern,eng
4250,The Painted Veil,3.9,W. Somerset Maugham,eng
4251,Blackwood Farm,3.85,Anne Rice,eng
4252,Anatomy of the Spirit: The Seven Stages of Power and Healing,4.12,Caroline Myss,en-US
4253,The Kalahari Typing School for Men,3.99,Alexander McCall Smith,eng
4254,A Hundred Summers,3.9,Beatriz Williams,eng
4255,A Torch Against the Night,4.34,Sabaa Tahir,eng
4256,The Wednesday Wars,4.06,Gary D. Schmidt,eng
4257,The Legacy,4.18,R.A. Salvatore,eng
4258,Skippyjon Jones,4.25,Judy Schachner,eng
4259,Chasing Fire,4.09,Nora Roberts,eng
4260,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,3.84,Brian Tracy,en-US
4261,"Moo, Baa, La La La!",4.19,Sandra Boynton,eng
4262,The Science of Getting Rich,4.18,Wallace D. Wattles,eng
4263,The Last Oracle,4.15,James Rollins,eng
4264,ذاكرة الجسد,3.87,"أحلام مستغانمي, Ahlam Mosteghanemi",ara
4265,Vinegar Hill (P.S.),3.36,A. Manette Ansay,en-US
4266,Startide Rising,4.04,David Brin,en-US
4267,Significance,4.13,Shelly Crane,eng
4268,Pompeii,3.79,Robert   Harris,eng
4269,The Guilty,4.12,David Baldacci,eng
4270,A History of Western Philosophy And Its Connection with Political and Social Circumstances from the Earliest Times to the Present Day,4.05,Bertrand Russell,en-US
4271,Complete Works of Lewis Carroll,4.34,Lewis Carroll,
4272,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,4,Nigella Lawson,
4273,Le Morte d'Arthur,3.92,"Thomas Malory, Keith Baines, Robert Graves",eng
4274,A Piece of Cake: A Memoir,4.15,Cupcake Brown,eng
4275,Taran Wanderer,4.14,Lloyd Alexander,eng
4276,Brimstone,4.12,"Douglas Preston, Lincoln Child",en-GB
4277,Rebecca of Sunnybrook Farm,3.85,Kate Douglas Wiggin,
4278,Devil in Winter ,4.26,Lisa Kleypas,en-US
4279,The Dead and the Gone,3.84,Susan Beth Pfeffer,en-US
4280,White,4.3,Ted Dekker,
4281,"The Darkest Passion (Lords of the Underworld, #5)",4.37,Gena Showalter,eng
4282,Pygmy,2.96,Chuck Palahniuk,eng
4283,Revenge Wears Prada: The Devil Returns,2.84,Lauren Weisberger,en-US
4284,Рассказы и Повести,4.36,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",eng
4285,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",4.13,S.C. Gwynne,
4286,Smiley's People,4.24,John le Carré,
4287,Redemption,4.36,"Karen Kingsbury, Gary Smalley",eng
4288,A Northern Light,3.83,Jennifer Donnelly,en-US
4289,Apollyon: The Destroyer Is Unleashed,3.97,"Tim LaHaye, Jerry B. Jenkins",en-US
4290,Whose Body?,3.91,Dorothy L. Sayers,eng
4291,,4.33,"Robert Sabuda, Lewis Carroll",en-US
4292,Michelangelo and the Pope's Ceiling,3.82,Ross King,eng
4293,Stolen,4.16,Kelley Armstrong,eng
4294,Hour Game,3.94,David Baldacci,en-US
4295,The Cruelest Month,4.15,Louise Penny,en-GB
4296,Ballet Shoes,4.06,"Noel Streatfeild, Diane Goode",en-US
4297,"The Chronicles of Narnia: The Lion, the Witch and The Wardrobe (Sheet Music)",4.32,Harry Gregson-Williams,
4298,We the Living,3.89,"Ayn Rand, Leonard Peikoff",eng
4299,The Winner's Crime,4.17,Marie Rutkoski,eng
4300,,3.9,Carolyn Brown,eng
4301,100 Selected Poems by e. e. Cummings,4.32,E.E. Cummings,en-US
4302,"Such a Pretty Fat: One Narcissist's Quest to Discover if Her Life Makes Her Ass Look Big, or Why Pie is Not the Answer",4.06,Jen Lancaster,eng
4303,Forest of Secrets,4.4,Erin Hunter,eng
4304,The Little Stranger,3.51,Sarah Waters,en-US
4305,Night Broken,4.42,Patricia Briggs,eng
4306,Snow Like Ashes,3.98,Sara Raasch,eng
4307,We Are Not Ourselves,3.7,Matthew  Thomas,eng
4308,Red Lily,4.07,Nora Roberts,en-US
4309,Reviving Ophelia: Saving the Selves of Adolescent Girls,3.86,Mary Pipher,
4310,The Lords of the North,4.32,Bernard Cornwell,en-US
4311,Just Ella,3.75,Margaret Peterson Haddix,eng
4312,Eyes wide open,4.14,Raine Miller,eng
4313,China Dolls,3.58,Lisa See,eng
4314,Megan Meade's Guide to the McGowan Boys,3.93,Kate Brian,en-US
4315,Bread and Jam for Frances,4.2,"Russell Hoban, Lillian Hoban",eng
4316,Half Asleep in Frog Pajamas,3.73,Tom Robbins,
4317,Mirror Mirror,3.27,Gregory Maguire,eng
4318,More Than This,4.03,Patrick Ness,eng
4319,Child of God,3.86,Cormac McCarthy,
4320,"As Sure as the Dawn (Mark of the Lion, #3)",4.39,Francine Rivers,eng
4321,Lexicon,3.9,Max Barry,eng
4322,One Fifth Avenue,3.33,"Candace Bushnell, Donna Murphy",
4323,El Deafo,4.13,"Cece Bell, David Lasky",eng
4324,Down London Road,4.24,Samantha Young,eng
4325,"The Walking Dead, Vol. 3: Safety Behind Bars",4.31,"Robert Kirkman, Charlie Adlard",eng
4326,"Flow My Tears, the Policeman Said",3.93,Philip K. Dick,eng
4327,The Last Sin Eater,4.06,Francine Rivers,
4328,A Knight in Shining Armor,4.23,Jude Deveraux,eng
4329,Rot & Ruin,4.1,Jonathan Maberry,eng
4330,,4.06,"Plato, G.M.A. Grube, John M. Cooper",en-US
4331,Heavier Than Heaven: A Biography of Kurt Cobain,4.09,Charles R. Cross,
4332,Ἱστορίαι,3.87,"Thucydides, Rex Warner, Moses I. Finley",en-US
4333,The Red Badge of Courage,3.64,"Stephen Crane, George Stade, Richard Fusco",en-US
4334,Sandman Slim,3.93,Richard Kadrey,en-US
4335,The Last Child,4.09,John Hart,en-US
4336,Labyrinths,4.46,"Jorge Luis Borges, Donald A. Yates, James E. Irby, André Maurois",eng
4337,Fortune's Rocks,3.86,Anita Shreve,
4338,The Price of Salt,3.93,Patricia Highsmith,eng
4339,Tiger's Quest,4.34,Colleen Houck,en-US
4340,Friday Night Bites: A Chicagoland Vampires Novel ,4.15,Chloe Neill,en-US
4341,"The Undercover Economist: Exposing Why the Rich Are Rich, the Poor Are Poor--and Why You Can Never Buy a Decent Used Car!",3.79,Tim Harford,
4342,The Oath,4.06,Frank E. Peretti,eng
4343,Rumors,3.85,Anna Godbersen,en-US
4344,The Day the Crayons Quit,4.41,"Drew Daywalt, Oliver Jeffers",eng
4345,"Princess in Waiting (The Princess Diaries, #4)",3.66,Meg Cabot,eng
4346,,4.4,"Katie J. Davis, Beth Clark",en-US
4347,The Heretic's Daughter,3.77,Kathleen Kent,
4348,Der Zauberberg,4.14,"Thomas Mann, John E. Woods",eng
4349,Chasing the Dime,3.96,Michael Connelly,eng
4350,A Thousand Pieces of You,3.94,Claudia Gray,eng
4351,Pictures of Hollis Woods,4,Patricia Reilly Giff,eng
4352,The Reality Dysfunction,4.14,Peter F. Hamilton,eng
4353,The Sands of Time,3.73,Sidney Sheldon,eng
4354, NW ,3.41,Zadie Smith,eng
4355,The Chronicles of Vladimir Tod: Eighth Grade Bites,3.92,Heather Brewer,en-US
4356,The Paradox of Choice: Why More Is Less,3.84,Barry Schwartz,eng
4357,Blood and Chocolate,3.77,Annette Curtis Klause,en-US
4358,Nine Dragons,3.97,Michael Connelly,eng
4359,Women in Love,3.66,D.H. Lawrence,eng
4360,Second Chance,3.53,Jane Green,en-US
4361,The Postman,3.87,David Brin,en-US
4362,Summerland,3.85,Elin Hilderbrand,eng
4363,The Patron Saint of Liars,3.76,Ann Patchett,eng
4364,The Success Principles,4.26,"Jack Canfield, Janet Switzer",en-US
4365,Knight,3.94,Kristen Ashley,en-GB
4366,Business Model Generation,4.16,"Alexander Osterwalder, Yves Pigneur",eng
4367,The Swerve: How the World Became Modern,3.83,Stephen Greenblatt,eng
4368,"The Autobiography of Henry VIII. With Notes by His Fool, Will Somers",4.25,Margaret George,en-US
4369,Stranger Than Fiction: True Stories,3.56,Chuck Palahniuk,eng
4370,The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,4.2,Norman Doidge,en-US
4371,The Ringworld Engineers ,3.86,Larry Niven,eng
4372,I Hunt Killers,4.02,Barry Lyga,en-CA
4373,Crashed,4.56,K. Bromberg,eng
4374,Kitchens of the Great Midwest,3.77,J. Ryan Stradal,eng
4375,Stone Soup,4.28,"Ann McGovern, Winslow Pinney Pels, Winslow Pinn, Ey Pels",en-US
4376,شيكاجو,3.41,"Alaa Al Aswany, علاء الأسواني",ara
4377,12th of Never,3.99,"James Patterson, Maxine Paetro",en-US
4378,Promise of Blood,4.16,Brian  McClellan,eng
